Date : 2025-12-16 21:58:59
Directory : c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal
Total : 85 files,  4133 codes, 140 comments, 434 blanks, all 4707 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\MeetingForm.jsx              | JavaScript JSX |         26 |          2 |         -1 |         27 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\OwnerForm.jsx                | JavaScript JSX |        157 |          8 |         11 |        176 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\OwnerPropertyForm.jsx        | JavaScript JSX |        171 |          4 |         25 |        200 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\PropertyForm.jsx             | JavaScript JSX |         59 |          2 |          3 |         64 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\RecurrenceForm.jsx           | JavaScript JSX |        108 |          1 |         10 |        119 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\ReoccuringBookingForm.jsx    | JavaScript JSX |         -5 |          0 |         -3 |         -8 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\forms\SingleJobForm.jsx            | JavaScript JSX |       -254 |         -8 |        -18 |       -280 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DatePicker.jsx                  | JavaScript JSX |         32 |          0 |          0 |         32 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DateRangePicker.jsx             | JavaScript JSX |          2 |          0 |          0 |          2 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\PasswordField.jsx               | JavaScript JSX |         31 |          0 |          3 |         34 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\PropertyNavigation.jsx          | JavaScript JSX |          8 |          0 |          0 |          8 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFComboBox.jsx                 | JavaScript JSX |         -2 |          0 |          0 |         -2 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\TextInput.jsx                   | JavaScript JSX |         13 |          4 |          6 |         23 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\ToggleButton.jsx                | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\contexts\UserProvider.jsx                     | JavaScript JSX |         85 |         13 |         19 |        117 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useAdHocJobs.jsx                        | JavaScript JSX |         58 |          0 |         10 |         68 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useAdHocJobsCalendar.jsx                | JavaScript JSX |         41 |          6 |         11 |         58 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useAdHocJobsFilters.jsx                 | JavaScript JSX |         39 |          2 |          8 |         49 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useBookingVolume.jsx                    | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useBookings.jsx                         | JavaScript JSX |          1 |          0 |          2 |          3 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useCalendarItems.jsx                    | JavaScript JSX |         34 |          2 |          0 |         36 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useCreateNotification.jsx               | JavaScript JSX |         21 |          3 |          8 |         32 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useDeleteAbsence.jsx                    | JavaScript JSX |         14 |          1 |          4 |         19 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useGenerateRecurrences.jsx              | JavaScript JSX |        111 |         13 |         30 |        154 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useInsertMeeting.jsx                    | JavaScript JSX |         20 |          3 |          4 |         27 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useJobSheetJobs.jsx                     | JavaScript JSX |         70 |         10 |         16 |         96 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useJobs.jsx                             | JavaScript JSX |          3 |          0 |          0 |          3 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useUpsertAbsence.jsx                    | JavaScript JSX |         44 |          2 |          5 |         51 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useUpsertAdHocJob.jsx                   | JavaScript JSX |        181 |         16 |         29 |        226 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useUpsertEmployee.jsx                   | JavaScript JSX |         35 |          3 |          8 |         46 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useUpsertOwner.jsx                      | JavaScript JSX |         28 |          2 |          4 |         34 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\hooks\useUpsertSingleJob.jsx                  | JavaScript JSX |        -55 |         -2 |        -12 |        -69 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\index.css                                     | PostCSS        |          9 |          0 |          1 |         10 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\lib\HelperFunctions.js                        | JavaScript     |         15 |          0 |          0 |         15 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\main.jsx                                      | JavaScript JSX |         38 |          0 |          0 |         38 |
| c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\validationSchema.js                           | JavaScript     |         40 |          0 |          1 |         41 |
| Total                                                                                                                           |                |      4,133 |        140 |        434 |      4,707 |
+---------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
