"filename", "language", "JSON", "Markdown", "JSON with Comments", "HTML", "JavaScript", "Properties", "PostCSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\CurrencyComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 24, 292
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\DatePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 0, 2, 19, 200
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\DatePickerPopout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 64, 0, 3, 6, 73
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\DateRangePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 357, 0, 3, 28, 388
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\DownloadLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 4, 9, 56
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\FileDrop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 501, 0, 6, 41, 548
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\FloatingTextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 33
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 237, 0, 0, 21, 258
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFDatePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 179, 0, 2, 19, 200
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFDatePickerPopout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 3, 7, 87
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFStatusComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 236, 0, 0, 22, 258
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFTextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 5, 63
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\RHFUserComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 240, 0, 5, 22, 267
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\SearchBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\StatusComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 189, 0, 0, 19, 208
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\TextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\TextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 7, 100
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\ToggleButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 5, 61
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\UserAvatarGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\UserComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 214, 0, 5, 20, 239
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 82, 0, 0, 9, 91
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\React-QMS-App\src\components\ui\chart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 262, 0, 2, 34, 298
