"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "JavaScript JSX", "HTML", "PostCSS", "XML", "Properties", "comment", "blank", "total"
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\DownloadLink.jsx", "JavaScript JSX", 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 9, 56
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\FileDrop.jsx", "JavaScript JSX", 0, 0, 0, 0, 501, 0, 0, 0, 0, 6, 41, 548
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\FloatingTextInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\LoadingBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\NumericInput.jsx", "JavaScript JSX", 0, 0, 0, 0, 64, 0, 0, 0, 0, 2, 13, 79
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\PropertyNavigation.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 0, 0, 2, 7, 44
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 261, 0, 0, 0, 0, 0, 21, 282
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFDatePicker.jsx", "JavaScript JSX", 0, 0, 0, 0, 180, 0, 0, 0, 0, 2, 19, 201
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFDatePickerPopout.jsx", "JavaScript JSX", 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 7, 87
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFStatusComboBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 247, 0, 0, 0, 0, 0, 22, 269
"c:\Users\dryde\OneDrive\Desktop\Visual Studio Projects\Dryden-Services-Portal\src\components\ui\RHFTextArea.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 6, 85
